DISCOUNT,DATE,QUANTITY
28,1/8/2024,467
88,2/1/2024,47
71,8/19/2024,109
,4/14/2024,258
,2/28/2024,371
,1/26/2024,483
33,3/17/2024,459
42,5/17/2024,237
,8/9/2024,144
,2/4/2024,369
,7/29/2024,339
52,7/26/2024,208
,8/20/2024,137
,2/20/2024,361
53,5/4/2024,290
,1/16/2024,141
,3/31/2024,500
18,7/15/2024,282
11,9/5/2024,189
,7/18/2024,180
,6/11/2024,49
,1/15/2024,400
59,1/31/2024,392
31,4/18/2024,313
,6/4/2024,217
,1/28/2024,360
84,5/13/2024,45
,5/6/2024,172
,2/26/2024,359
,2/13/2024,78
,7/23/2024,378
47,4/10/2024,191
,8/11/2024,362
,6/11/2024,212
11,8/21/2024,451
17,5/29/2024,17
,5/12/2024,478
,1/23/2024,249
44,2/19/2024,491
,7/23/2024,67
,1/28/2024,376
,8/22/2024,106
32,3/8/2024,76
15,5/2/2024,174
,7/11/2024,165
56,2/8/2024,250
,6/21/2024,473
85,4/13/2024,340
,2/20/2024,27
87,5/26/2024,499
84,2/12/2024,254
46,7/6/2024,70
,1/13/2024,154
17,5/20/2024,176
,6/18/2024,362
,2/10/2024,182
77,3/5/2024,396
89,1/10/2024,62
54,1/8/2024,241
,2/4/2024,224
,6/17/2024,324
36,8/1/2024,108
,2/16/2024,309
,2/14/2024,339
84,1/11/2024,473
,4/29/2024,470
83,7/8/2024,409
68,6/5/2024,468
,5/21/2024,119
51,6/28/2024,427
,3/19/2024,274
,6/23/2024,482
39,9/6/2024,488
,7/3/2024,224
,5/17/2024,350
,6/25/2024,455
58,4/30/2024,142
,5/9/2024,496
27,6/9/2024,209
64,4/3/2024,70
,5/19/2024,225
55,6/3/2024,500
35,3/12/2024,326
78,6/7/2024,457
,4/6/2024,382
,4/20/2024,140
,2/22/2024,60
,1/27/2024,215
25,6/9/2024,274
,1/4/2024,92
,9/4/2024,394
,4/23/2024,323
79,5/24/2024,49
,7/2/2024,363
72,1/11/2024,436
49,1/13/2024,179
,6/30/2024,31
78,4/27/2024,17
74,2/17/2024,395
58,7/7/2024,115
67,4/14/2024,227
,3/21/2024,390
87,1/10/2024,488
35,8/12/2024,159
,9/5/2024,42
,8/6/2024,60
,6/1/2024,385
,7/4/2024,201
54,8/16/2024,151
,6/4/2024,436
15,5/27/2024,177
,2/17/2024,353
78,2/16/2024,311
76,6/16/2024,89
84,7/25/2024,183
,7/18/2024,204
,5/25/2024,135
89,2/11/2024,420
39,1/8/2024,332
,2/12/2024,262
25,8/12/2024,407
,3/28/2024,336
,3/21/2024,325
,6/14/2024,73
,3/26/2024,455
16,3/2/2024,71
,1/29/2024,16
,4/28/2024,240
,4/19/2024,391
26,4/18/2024,106
,5/5/2024,381
,8/28/2024,317
,8/11/2024,200
29,3/10/2024,64
,1/22/2024,219
,2/9/2024,215
42,2/3/2024,186
68,2/13/2024,82
12,1/30/2024,272
38,4/15/2024,151
18,2/19/2024,221
87,1/19/2024,460
,5/20/2024,473
47,5/3/2024,196
,8/29/2024,36
51,5/17/2024,82
20,2/4/2024,415
59,8/22/2024,168
,2/16/2024,28
50,8/13/2024,25
,3/19/2024,80
74,5/17/2024,65
,3/30/2024,498
90,6/18/2024,183
70,2/7/2024,201
,7/15/2024,63
69,1/10/2024,82
40,3/2/2024,358
53,3/15/2024,156
,6/11/2024,279
90,4/7/2024,173
,9/4/2024,438
,3/15/2024,466
,6/15/2024,438
36,1/26/2024,279
,5/10/2024,22
,6/7/2024,297
,6/3/2024,373
89,8/31/2024,375
,7/30/2024,217
12,8/5/2024,497
,2/27/2024,376
47,7/30/2024,452
,3/9/2024,386
,2/13/2024,282
39,5/16/2024,412
,6/12/2024,225
,8/5/2024,305
16,4/22/2024,303
,1/16/2024,305
,2/24/2024,478
58,7/26/2024,494
,5/11/2024,58
,3/7/2024,370
,5/11/2024,434
,4/4/2024,74
59,6/22/2024,348
,3/14/2024,397
,4/8/2024,464
,5/4/2024,89
,9/9/2024,191
,5/3/2024,338
,3/4/2024,104
,7/31/2024,58
54,3/2/2024,136
16,6/30/2024,44
,6/15/2024,208
,2/15/2024,491
,9/12/2024,282
,4/29/2024,448
37,3/14/2024,382
50,5/12/2024,266
,2/14/2024,443
,8/23/2024,102
55,6/16/2024,124
,9/9/2024,378
,1/10/2024,105
10,3/29/2024,256
,6/25/2024,104
,1/13/2024,189
,8/11/2024,50
21,8/9/2024,354
61,1/15/2024,416
81,1/31/2024,248
15,8/22/2024,234
,2/25/2024,481
64,8/31/2024,299
89,4/16/2024,264
,8/15/2024,186
20,7/7/2024,45
,4/19/2024,447
,4/21/2024,392
89,3/30/2024,61
14,2/15/2024,106
,4/7/2024,73
,7/31/2024,224
51,6/24/2024,458
,1/27/2024,328
,8/5/2024,172
63,8/5/2024,379
,7/14/2024,419
,8/24/2024,189
,5/12/2024,471
21,8/3/2024,437
87,5/25/2024,183
,8/21/2024,15
,4/5/2024,348
80,3/18/2024,444
,3/27/2024,64
,7/9/2024,456
,9/3/2024,371
11,2/25/2024,275
,8/8/2024,244
50,9/5/2024,225
33,7/28/2024,117
,7/4/2024,192
49,6/13/2024,198
,3/29/2024,389
,9/10/2024,177
82,3/8/2024,294
,3/29/2024,334
,4/20/2024,206
,1/8/2024,346
37,7/11/2024,114
,8/26/2024,265
,7/8/2024,194
74,3/6/2024,376
,5/28/2024,424
45,7/1/2024,278
,2/21/2024,366
44,8/14/2024,424
,8/12/2024,35
79,3/13/2024,38
14,8/22/2024,485
88,1/6/2024,455
,7/23/2024,471
,7/13/2024,179
21,7/16/2024,352
,1/19/2024,237
82,5/9/2024,159
,6/28/2024,136
86,4/14/2024,126
46,3/10/2024,331
38,4/7/2024,402
,6/16/2024,165
38,2/12/2024,282
,3/28/2024,321
52,7/7/2024,468
75,3/2/2024,465
14,2/12/2024,210
11,4/15/2024,451
,8/20/2024,93
89,5/28/2024,455
,5/21/2024,62
,2/28/2024,172
47,8/12/2024,155
32,5/24/2024,479
19,1/22/2024,158
,8/12/2024,248
65,7/7/2024,110
,5/19/2024,491
64,4/1/2024,464
,2/4/2024,101
,1/25/2024,90
,2/12/2024,350
,2/26/2024,20
64,8/29/2024,238
58,7/20/2024,217
,2/10/2024,104
59,2/5/2024,498
85,4/27/2024,286
24,6/8/2024,199
,2/21/2024,155
,8/5/2024,132
53,7/24/2024,141
,2/22/2024,290
,6/21/2024,293
,2/5/2024,68
,3/14/2024,497
67,1/30/2024,251
74,5/13/2024,375
13,7/8/2024,475
,6/30/2024,474
10,8/11/2024,348
,8/10/2024,338
43,3/5/2024,491
35,5/22/2024,164
30,6/15/2024,202
23,7/25/2024,278
22,6/27/2024,36
18,1/19/2024,411
,7/16/2024,25
41,6/26/2024,352
,8/2/2024,487
,6/11/2024,280
86,4/30/2024,155
31,3/1/2024,445
,5/8/2024,244
,9/9/2024,98
85,2/16/2024,216
,4/11/2024,314
76,5/26/2024,37
,2/28/2024,101
50,2/7/2024,210
,8/20/2024,486
,1/6/2024,459
61,1/31/2024,346
37,2/29/2024,24
24,4/19/2024,240
88,5/14/2024,124
,8/12/2024,140
22,8/24/2024,276
86,4/8/2024,177
55,8/2/2024,54
77,2/28/2024,18
88,4/17/2024,198
27,3/27/2024,279
,5/30/2024,223
,1/9/2024,485
,2/24/2024,216
10,5/1/2024,410
,2/26/2024,141
27,4/6/2024,38
10,5/21/2024,33
,2/22/2024,134
26,6/30/2024,407
20,5/23/2024,413
35,7/25/2024,481
,8/21/2024,293
65,9/6/2024,286
24,5/1/2024,187
,7/8/2024,403
,3/11/2024,69
,6/7/2024,356
,3/13/2024,50
,2/13/2024,152
46,3/13/2024,186
10,2/29/2024,394
,2/11/2024,259
,7/8/2024,138
37,7/22/2024,162
85,7/25/2024,483
,8/29/2024,246
,4/26/2024,284
,6/26/2024,341
25,5/22/2024,351
32,7/4/2024,200
49,1/29/2024,440
38,1/13/2024,336
,4/13/2024,473
39,2/26/2024,45
,1/15/2024,152
,9/5/2024,444
,4/5/2024,314
60,5/18/2024,223
68,7/22/2024,24
,6/28/2024,96
,3/9/2024,269
,3/18/2024,170
15,7/24/2024,176
37,8/25/2024,133
,1/18/2024,318
,1/25/2024,475
61,1/31/2024,188
45,4/15/2024,140
,5/13/2024,137
,8/24/2024,383
64,4/18/2024,361
,1/31/2024,244
18,6/25/2024,398
,1/12/2024,73
50,5/26/2024,144
,3/28/2024,217
,7/26/2024,335
46,5/27/2024,364
,4/28/2024,105
,5/9/2024,142
,3/1/2024,82
,1/18/2024,50
,1/22/2024,275
,1/23/2024,331
,2/15/2024,468
,2/5/2024,180
,7/24/2024,117
,8/26/2024,108
35,9/3/2024,44
,4/6/2024,297
,4/19/2024,118
,5/20/2024,60
,5/9/2024,173
48,3/22/2024,175
,3/31/2024,244
27,6/8/2024,29
36,2/18/2024,17
55,1/14/2024,84
27,4/12/2024,194
,7/4/2024,30
,3/17/2024,285
21,3/18/2024,422
,8/3/2024,243
,1/6/2024,181
,5/30/2024,272
,6/3/2024,457
29,6/4/2024,323
,4/25/2024,442
,7/27/2024,17
,4/3/2024,146
,9/3/2024,174
65,2/19/2024,247
,4/20/2024,460
,7/20/2024,104
,1/16/2024,367
,8/26/2024,20
,6/30/2024,412
29,3/12/2024,209
89,8/9/2024,276
,9/8/2024,228
,3/11/2024,60
,4/14/2024,212
,4/26/2024,249
,6/5/2024,349
,2/10/2024,108
25,7/18/2024,373
,5/29/2024,265
36,8/22/2024,171
,5/24/2024,37
,6/3/2024,44
47,6/18/2024,80
,4/14/2024,353
22,5/5/2024,213
11,5/3/2024,232
,8/26/2024,335
17,9/2/2024,293
,3/21/2024,484
70,7/8/2024,153
,5/20/2024,157
67,9/11/2024,153
51,2/26/2024,334
,8/23/2024,21
65,5/3/2024,57
,1/11/2024,111
72,3/27/2024,90
,1/14/2024,357
,1/31/2024,438
,2/26/2024,354
,4/27/2024,92
,4/11/2024,456
38,1/8/2024,83
26,3/10/2024,76
,8/16/2024,186
,6/11/2024,230
73,4/19/2024,470
86,8/26/2024,480
82,5/23/2024,129
72,7/13/2024,362
50,3/4/2024,348
35,6/7/2024,491
87,2/15/2024,68
,5/13/2024,334
45,7/23/2024,215
,3/16/2024,493
79,7/18/2024,222
,7/15/2024,15
,5/15/2024,231
78,8/16/2024,50
17,2/18/2024,90
58,4/11/2024,237
28,6/12/2024,22
,3/22/2024,232
52,6/23/2024,171
,2/25/2024,116
,7/8/2024,19
,5/1/2024,96
13,1/13/2024,284
89,8/18/2024,226
89,4/22/2024,104
,2/7/2024,141
,8/27/2024,242
,3/6/2024,211
,7/17/2024,294
64,6/26/2024,289
69,8/26/2024,365
25,2/29/2024,257
39,6/22/2024,19
46,4/10/2024,131
77,1/22/2024,56
60,5/2/2024,369
,1/25/2024,448
60,5/6/2024,21
50,6/24/2024,357
16,2/24/2024,60
,6/13/2024,261
,5/16/2024,223
22,7/15/2024,189
,5/17/2024,357
,1/29/2024,366
84,4/12/2024,138
11,7/31/2024,256
32,4/20/2024,436
76,6/2/2024,179
,8/26/2024,366
,1/4/2024,229
,3/5/2024,187
,3/11/2024,234
,8/5/2024,250
,2/1/2024,451
,3/22/2024,348
18,1/30/2024,382
,8/17/2024,208
85,8/24/2024,245
14,8/27/2024,231
,1/18/2024,311
,1/26/2024,298
,4/10/2024,477
43,3/29/2024,315
78,9/5/2024,189
80,5/18/2024,361
75,7/14/2024,299
,5/1/2024,156
18,1/29/2024,469
40,2/20/2024,415
,1/17/2024,255
27,2/3/2024,213
,5/15/2024,371
,7/1/2024,421
,1/28/2024,455
90,1/28/2024,449
,7/24/2024,156
,6/3/2024,269
70,8/29/2024,499
,7/2/2024,110
69,5/31/2024,119
10,9/6/2024,359
,1/30/2024,347
,9/7/2024,166
,2/7/2024,388
,9/12/2024,273
65,5/11/2024,327
19,4/3/2024,475
,4/16/2024,292
90,6/16/2024,63
11,3/19/2024,261
,2/27/2024,220
,7/10/2024,230
40,7/26/2024,17
69,6/22/2024,422
23,8/2/2024,244
15,6/14/2024,225
,1/19/2024,190
,2/16/2024,306
81,8/27/2024,411
77,6/4/2024,409
35,8/21/2024,62
27,4/10/2024,489
12,3/11/2024,294
,8/31/2024,237
,1/14/2024,372
48,4/1/2024,272
,9/6/2024,412
,6/18/2024,134
,3/18/2024,50
32,5/3/2024,41
89,3/31/2024,415
24,5/8/2024,218
,3/31/2024,356
,5/14/2024,494
25,8/23/2024,489
67,9/13/2024,60
55,6/23/2024,328
30,5/17/2024,195
,5/30/2024,299
14,8/21/2024,159
90,3/24/2024,30
49,5/28/2024,206
48,1/26/2024,204
56,5/3/2024,176
,6/7/2024,341
,5/17/2024,112
19,4/23/2024,245
23,6/26/2024,439
72,7/19/2024,500
17,7/30/2024,434
,8/21/2024,255
48,8/22/2024,284
88,7/25/2024,78
74,8/23/2024,97
,5/2/2024,82
52,7/3/2024,358
,6/16/2024,468
76,6/30/2024,275
,7/7/2024,491
,3/16/2024,126
25,7/11/2024,232
,7/20/2024,284
76,9/2/2024,398
47,6/30/2024,183
40,6/11/2024,94
75,1/25/2024,74
,3/14/2024,361
,4/18/2024,277
59,8/29/2024,438
31,2/9/2024,206
43,8/9/2024,138
,2/14/2024,467
52,4/10/2024,43
,7/14/2024,454
,3/17/2024,340
,1/20/2024,264
,4/6/2024,463
12,5/27/2024,275
77,5/21/2024,160
53,6/10/2024,412
63,4/2/2024,379
,5/21/2024,33
79,4/18/2024,183
77,1/23/2024,147
,1/24/2024,261
27,1/4/2024,430
,1/6/2024,243
37,3/31/2024,343
49,8/4/2024,495
51,3/25/2024,298
,5/5/2024,396
39,5/19/2024,142
37,1/19/2024,68
86,5/7/2024,348
72,1/4/2024,136
70,8/19/2024,463
28,6/16/2024,72
48,3/20/2024,285
11,8/4/2024,432
,6/7/2024,137
,8/14/2024,45
,7/7/2024,286
,7/18/2024,459
,3/29/2024,142
49,3/30/2024,182
,2/15/2024,190
,2/7/2024,250
74,9/2/2024,423
,1/12/2024,209
,9/7/2024,436
,3/11/2024,315
50,5/25/2024,413
75,6/4/2024,174
51,6/16/2024,255
,7/9/2024,469
19,8/2/2024,350
,5/26/2024,287
,3/3/2024,474
74,4/24/2024,217
,2/17/2024,295
,8/22/2024,430
16,3/23/2024,248
,3/3/2024,119
65,2/4/2024,394
35,1/10/2024,327
84,6/26/2024,187
25,5/31/2024,39
,2/25/2024,461
,7/11/2024,173
64,2/3/2024,256
,2/6/2024,499
86,8/9/2024,30
10,5/21/2024,477
,6/23/2024,351
32,2/25/2024,268
19,8/30/2024,345
79,6/26/2024,498
,2/21/2024,24
21,5/7/2024,292
85,6/2/2024,428
72,8/10/2024,221
82,3/14/2024,34
,6/7/2024,477
,1/6/2024,39
16,7/3/2024,424
63,8/22/2024,135
,5/26/2024,166
60,3/22/2024,271
16,8/15/2024,442
,4/26/2024,338
,4/23/2024,173
84,1/30/2024,168
,5/27/2024,392
,3/9/2024,276
44,7/30/2024,169
,6/7/2024,155
,9/1/2024,446
,7/3/2024,163
17,5/17/2024,446
22,2/24/2024,261
,7/7/2024,376
,5/6/2024,473
62,1/11/2024,344
28,1/6/2024,284
87,8/20/2024,352
,3/3/2024,312
,6/15/2024,124
10,7/2/2024,286
20,3/21/2024,404
43,3/9/2024,221
27,5/19/2024,125
22,1/29/2024,70
16,8/27/2024,93
75,2/18/2024,457
,2/29/2024,282
,7/18/2024,270
63,9/3/2024,372
21,9/10/2024,64
,5/17/2024,268
80,4/27/2024,167
,3/25/2024,165
79,1/11/2024,132
,8/1/2024,320
32,4/5/2024,315
,9/7/2024,212
53,6/18/2024,338
,2/25/2024,416
63,2/18/2024,497
69,8/27/2024,298
,5/29/2024,498
73,5/23/2024,215
,3/25/2024,163
89,3/20/2024,28
,8/25/2024,322
55,4/22/2024,450
,7/28/2024,132
16,4/1/2024,355
,6/7/2024,80
,8/28/2024,95
37,6/18/2024,394
,5/8/2024,308
45,2/14/2024,141
,4/19/2024,212
,9/13/2024,110
34,1/18/2024,70
18,1/28/2024,495
,7/9/2024,230
,7/23/2024,25
52,6/9/2024,179
,8/7/2024,260
,2/4/2024,474
81,1/8/2024,186
,6/21/2024,129
,7/1/2024,499
,5/10/2024,401
,8/15/2024,167
84,6/26/2024,91
73,3/30/2024,156
11,8/11/2024,278
16,8/4/2024,236
82,1/5/2024,195
38,7/27/2024,229
73,5/9/2024,82
,8/21/2024,189
37,8/31/2024,31
,6/18/2024,135
,8/5/2024,334
34,3/5/2024,416
,5/11/2024,273
47,4/29/2024,42
44,5/27/2024,373
,7/7/2024,398
,6/18/2024,253
51,1/12/2024,422
57,4/13/2024,92
57,2/11/2024,223
23,4/3/2024,489
24,2/13/2024,328
,3/10/2024,446
43,5/6/2024,41
,1/5/2024,483
,4/4/2024,189
61,3/13/2024,259
,9/3/2024,191
,8/24/2024,475
21,2/22/2024,174
,4/23/2024,26
,4/8/2024,80
68,9/7/2024,340
,6/15/2024,146
75,4/23/2024,52
,2/15/2024,63
14,6/6/2024,166
90,8/26/2024,16
37,7/26/2024,213
,6/5/2024,403
12,8/27/2024,264
79,5/1/2024,205
,7/12/2024,242
80,8/8/2024,270
,2/1/2024,56
37,3/2/2024,490
,3/9/2024,67
,1/26/2024,293
,4/27/2024,485
,5/25/2024,462
46,3/4/2024,88
34,2/8/2024,67
,5/6/2024,311
,3/1/2024,433
64,1/6/2024,107
,1/26/2024,100
31,1/28/2024,18
77,7/18/2024,282
61,7/4/2024,407
,5/9/2024,354
74,6/14/2024,146
68,3/3/2024,30
11,1/17/2024,407
80,1/8/2024,113
,2/28/2024,185
,3/7/2024,425
65,7/16/2024,441
72,9/12/2024,159
71,3/24/2024,305
,3/17/2024,325
,2/4/2024,272
49,6/25/2024,349
,3/11/2024,338
65,7/8/2024,306
49,2/8/2024,201
25,3/25/2024,272
16,4/19/2024,81
24,3/17/2024,356
42,6/29/2024,132
,6/12/2024,218
,8/23/2024,72
86,1/28/2024,202
15,6/1/2024,238
,2/2/2024,268
,5/27/2024,152
,3/1/2024,413
68,9/13/2024,66
73,1/4/2024,291
,7/19/2024,285
,5/25/2024,457
,5/3/2024,271
54,5/30/2024,499
45,1/24/2024,489
,6/29/2024,479
25,2/20/2024,304
66,7/25/2024,263
,7/22/2024,363
,3/20/2024,46
,2/9/2024,201
46,8/12/2024,337
89,6/2/2024,158
,2/21/2024,204
27,2/14/2024,177
73,5/12/2024,159
,7/21/2024,347
66,6/10/2024,34
17,2/14/2024,126
81,8/5/2024,455
,4/18/2024,41
,2/15/2024,111
89,1/7/2024,264
,5/10/2024,313
,9/12/2024,32
,3/31/2024,271
,3/6/2024,313
73,4/12/2024,325
28,6/30/2024,494
10,8/1/2024,410
68,2/11/2024,448
36,5/30/2024,167
,1/8/2024,218
69,3/1/2024,84
39,6/1/2024,143
,5/5/2024,53
81,2/18/2024,374
,3/17/2024,238
,3/13/2024,420
,8/31/2024,490
19,7/20/2024,228
,1/14/2024,160
11,4/27/2024,72
81,2/5/2024,166
,4/12/2024,434
,4/17/2024,461
64,1/7/2024,212
43,7/24/2024,69
,1/15/2024,413
,9/2/2024,76
10,6/19/2024,297
11,8/17/2024,186
,3/31/2024,312
,1/26/2024,348
,9/8/2024,378
80,1/19/2024,29
,8/19/2024,475
60,6/18/2024,138
,2/24/2024,149
,1/31/2024,124
,5/6/2024,50
46,6/18/2024,226
86,3/18/2024,308
,9/12/2024,285
,2/13/2024,15
,1/22/2024,170
39,1/31/2024,376
49,6/23/2024,236
54,1/4/2024,443
,3/15/2024,80
,7/4/2024,144
78,1/11/2024,395
59,9/1/2024,34
,6/19/2024,356
88,4/19/2024,43
,4/18/2024,227
,5/29/2024,282
,4/7/2024,111
23,9/5/2024,397
72,5/1/2024,281
,9/4/2024,200
,1/6/2024,221
39,6/3/2024,274
,1/29/2024,224
82,7/30/2024,494
29,8/1/2024,317
90,2/9/2024,159
81,5/12/2024,345
,7/30/2024,32
53,2/7/2024,78
11,1/19/2024,394
,6/5/2024,495
15,2/17/2024,332
,7/21/2024,130
,5/31/2024,474
,1/30/2024,117
22,8/18/2024,318
24,2/10/2024,346
,3/26/2024,22
71,1/15/2024,415
,8/31/2024,461
25,6/8/2024,174
62,2/23/2024,222
,8/3/2024,31
,1/10/2024,132
,3/3/2024,475
90,2/10/2024,472
65,8/28/2024,106
,1/29/2024,175
,4/3/2024,391
,8/26/2024,114
,8/12/2024,222
45,1/21/2024,395
,2/9/2024,497
62,4/21/2024,270
,6/24/2024,170
12,2/21/2024,203
,3/15/2024,497
,5/17/2024,179
,1/10/2024,391
,8/2/2024,270
,1/21/2024,298
54,6/25/2024,23
84,7/19/2024,221
,6/3/2024,69
30,8/25/2024,380
,1/18/2024,437
,7/22/2024,398
,1/31/2024,333
,3/23/2024,326
69,3/8/2024,333
79,4/16/2024,331
62,5/18/2024,400
84,3/11/2024,312
,9/1/2024,131
43,8/30/2024,464
79,2/4/2024,407
30,7/22/2024,187
13,7/9/2024,293
20,9/4/2024,129
,2/10/2024,130
,1/19/2024,53
87,6/20/2024,397
,1/7/2024,246
,8/13/2024,170
,6/22/2024,96
17,5/21/2024,499
37,8/23/2024,249
37,3/14/2024,274
53,2/4/2024,169
,5/26/2024,453
,6/11/2024,273
,5/10/2024,439
,3/21/2024,257
57,4/17/2024,479
,5/21/2024,336
89,9/4/2024,142
74,2/17/2024,419
,1/5/2024,66
,3/20/2024,97
16,4/14/2024,328
36,7/11/2024,144
,1/31/2024,203
,7/13/2024,351
,8/28/2024,385
,3/16/2024,56
22,2/17/2024,332
41,9/4/2024,118
,7/15/2024,109
,8/13/2024,151
,9/9/2024,496
75,5/27/2024,49
83,4/29/2024,470
79,5/7/2024,57
44,4/17/2024,481
,1/20/2024,157
,4/26/2024,214
21,5/16/2024,400
85,9/8/2024,472
,1/20/2024,109
,1/17/2024,200
10,3/25/2024,343
,6/17/2024,148
,2/17/2024,500
88,3/27/2024,44
79,1/21/2024,275
,3/27/2024,134
29,3/3/2024,225
19,3/26/2024,432
63,8/1/2024,313
,7/2/2024,231
,8/23/2024,196
82,2/10/2024,51
,8/28/2024,178
,2/22/2024,28
,2/14/2024,399
,8/28/2024,422
46,1/5/2024,141
23,7/20/2024,333
15,4/21/2024,262
85,3/16/2024,464
26,2/27/2024,119
28,3/25/2024,241
,8/21/2024,355
81,1/20/2024,364
68,2/15/2024,411
79,4/5/2024,131
80,7/10/2024,219
,9/6/2024,385
12,3/5/2024,414
,3/13/2024,261
71,1/6/2024,63
,7/26/2024,399
19,4/6/2024,286
10,7/5/2024,444
89,7/31/2024,243
,9/2/2024,277
,1/8/2024,322
,2/29/2024,149
,7/12/2024,376
,2/11/2024,260
,1/18/2024,278
88,6/14/2024,22
26,5/26/2024,145
,2/26/2024,156
,8/30/2024,295
,6/15/2024,85
,8/18/2024,145
52,8/28/2024,292
,6/7/2024,293
83,7/28/2024,278
78,5/31/2024,238
44,2/8/2024,40
,1/24/2024,435
,2/21/2024,184
23,9/2/2024,167
,8/19/2024,310
,4/8/2024,150
38,1/4/2024,45
,7/3/2024,56
35,2/4/2024,42
,6/10/2024,87
19,7/31/2024,95
,4/20/2024,351
,7/30/2024,447
,6/6/2024,376
58,1/18/2024,413
,4/25/2024,108
,5/19/2024,461
22,7/27/2024,216
,6/29/2024,218
58,2/2/2024,402
26,1/29/2024,323
,6/22/2024,265
,3/30/2024,439
,4/4/2024,333
72,5/10/2024,82
,4/12/2024,421
,3/1/2024,174
53,2/16/2024,29
,7/2/2024,171
,4/18/2024,488
,9/13/2024,282
,3/29/2024,190
,6/6/2024,238
90,6/22/2024,350
21,9/13/2024,311
,9/13/2024,228
37,4/17/2024,362
,9/13/2024,449
72,7/9/2024,364
89,7/13/2024,462
82,3/29/2024,260
31,2/28/2024,262
,3/13/2024,245
82,8/8/2024,398
,3/10/2024,268
,7/28/2024,474
60,5/13/2024,120
,2/4/2024,114
,2/26/2024,287
37,6/23/2024,231
,6/22/2024,190
,6/8/2024,131
61,4/19/2024,203
12,8/13/2024,488
,5/24/2024,158
26,7/1/2024,111
,1/24/2024,325
48,8/2/2024,92
61,5/30/2024,104
45,4/1/2024,410
78,2/25/2024,269
46,5/27/2024,226
78,8/26/2024,271
,9/4/2024,303
,1/12/2024,446
,5/23/2024,239
,6/9/2024,324
74,1/22/2024,405
74,5/5/2024,84
,7/29/2024,300
,6/19/2024,184
87,2/24/2024,376
26,1/18/2024,38
,9/2/2024,18
,2/16/2024,324
38,7/9/2024,73
,3/28/2024,187
,1/8/2024,201
69,4/20/2024,340
,6/24/2024,183
80,8/23/2024,436
25,2/25/2024,144
,9/5/2024,316
,7/26/2024,371
,8/3/2024,472
,8/20/2024,61
,8/21/2024,335
,8/31/2024,316
45,2/27/2024,477
88,1/10/2024,141
,7/16/2024,219
67,7/11/2024,342
,8/27/2024,202
,6/10/2024,296
,2/16/2024,299
,9/10/2024,350
,8/20/2024,485
,5/3/2024,473
82,3/5/2024,491
23,8/25/2024,30
,7/7/2024,129
54,3/27/2024,130
58,6/1/2024,270
,6/1/2024,363
21,6/18/2024,297
,2/13/2024,443
,9/8/2024,271
31,4/30/2024,69
,8/4/2024,449
60,3/16/2024,18
71,5/27/2024,194
12,7/21/2024,48
,8/10/2024,348
,3/23/2024,318
33,3/24/2024,97
59,4/16/2024,48
,4/30/2024,107
26,8/7/2024,290
19,8/10/2024,286
19,3/7/2024,359
75,5/21/2024,176
15,6/10/2024,63
13,8/31/2024,328
,5/12/2024,287
,5/5/2024,401
,5/13/2024,492
,2/16/2024,467
65,2/20/2024,344
,3/16/2024,131
,3/18/2024,448
,2/6/2024,141
80,2/7/2024,488
,1/17/2024,217
,3/9/2024,215
67,5/1/2024,59
50,7/17/2024,228
40,9/13/2024,134
32,9/1/2024,45
14,8/16/2024,489
62,3/28/2024,326
86,9/6/2024,334
68,5/18/2024,55
,3/15/2024,286
38,6/2/2024,220
,8/9/2024,370
66,6/14/2024,280
,6/5/2024,276
20,5/17/2024,166
14,5/28/2024,316
,2/6/2024,30
75,7/7/2024,212
,4/29/2024,27
56,2/18/2024,382
,6/5/2024,437
,9/3/2024,413
81,4/13/2024,198
,9/8/2024,280
,4/4/2024,337
,1/16/2024,264
,5/7/2024,291
,1/20/2024,248
17,6/18/2024,165
,7/17/2024,237
,4/24/2024,340
,4/21/2024,211
60,2/5/2024,354
,1/16/2024,329
,2/29/2024,344
61,2/3/2024,73
,4/16/2024,185
,7/23/2024,198
72,7/21/2024,345
,1/30/2024,337
30,5/14/2024,452
12,8/12/2024,337
,8/22/2024,65
,9/3/2024,128
53,6/8/2024,490
,6/20/2024,251
85,1/29/2024,55
50,5/29/2024,283
,7/8/2024,272
79,6/11/2024,112
62,5/16/2024,357
,1/14/2024,213
,7/10/2024,219
,7/29/2024,177
,3/21/2024,39
17,2/16/2024,365
,8/28/2024,325
17,5/15/2024,355
36,4/16/2024,483
,8/1/2024,34
,6/28/2024,232
59,1/12/2024,393
54,7/23/2024,163
,3/12/2024,61
,8/27/2024,164
10,1/8/2024,104
,4/19/2024,292
32,8/25/2024,358
62,1/12/2024,327
15,2/9/2024,472
38,8/30/2024,347
,1/26/2024,37
76,2/12/2024,247
77,6/2/2024,294
57,2/20/2024,282
81,2/25/2024,418
,4/25/2024,148
84,7/16/2024,341
,4/9/2024,361
35,8/13/2024,20
,1/16/2024,37
88,2/28/2024,482
35,5/7/2024,133
15,5/14/2024,500
,8/15/2024,485
,8/20/2024,342
17,8/11/2024,365
,2/18/2024,16
87,1/25/2024,371
22,8/9/2024,52
47,6/27/2024,103
23,8/9/2024,447
74,3/17/2024,486
13,6/28/2024,422
,1/16/2024,101
27,1/9/2024,472
,3/9/2024,63
43,4/20/2024,429
81,6/24/2024,373
72,5/31/2024,337
